Id,MSSubClass = 20,MSSubClass = 30,MSSubClass = 40,MSSubClass = 45,MSSubClass = 50,MSSubClass = 60,MSSubClass = 70,MSSubClass = 75,MSSubClass = 80,MSSubClass = 85,MSSubClass = 90,MSSubClass = 120,MSSubClass = 150,MSSubClass = 160,MSSubClass = 180,MSSubClass = 190,MSZoning is A,MSZoning is C,MSZoning is FV,MSZoning is I,MSZoning is RH,MSZoning is RL,MSZoning is RP,MSZoning is RM,LotFrontage < 59,LotFrontage < 69,LotFrontage < 80,LotFrontage > 80,LotArea < 7553,LotArea < 9478,LotArea < 11601,LotArea > 11601,Street is Pave,Street is Grvl,Alley is Pave,Alley is Grvl,Alley is NA,LotShape is Reg,LotShape is IR1,LotShape is IR2,LotShape is IR3,LandContour is Lvl,LandContour is Bnk,LandContour is HLS,LandContour is Low,Utilities is AllPub,Utilities is NoSewr,Utilities is NoSeWa,Utilities is ELO,LotConfig is Inside,LotConfig is Corner,LotConfig is CulDSac,LotConfig is FR2,LotConfig is FR3,LandSlope is Gtl,LandSlope is Mod,LandSlope is Sev,Neighborhood is Blmngtn,Neighborhood is Blueste,Neighborhood is BrDale,Neighborhood is BrkSide,Neighborhood is ClearCr,Neighborhood is CollgCr,Neighborhood is Crawfor,Neighborhood is Edwards,Neighborhood is Gilbert,Neighborhood is IDOTRR,Neighborhood is MeadowV,Neighborhood is Mitchel,Neighborhood is Names,Neighborhood is NoRidge,Neighborhood is NPkVill,Neighborhood is NridgHt,Neighborhood is NWAmes,Neighborhood is OldTown,Neighborhood is SWISU,Neighborhood is Sawyer,Neighborhood is SawyerW,Neighborhood is Somerst,Neighborhood is StoneBr,Neighborhood is Timber,Neighborhood is Veenker,Condition1 is Artery,Condition1 is Feedr,Condition1 is Norm,Condition1 is RRNn,Condition1 is RRAn,Condition1 is PosN,Condition1 is PosA,Condition1 is RRNe,Condition1 is RRAe,Condition2 is Artery,Condition2 is Feedr,Condition2 is Norm,Condition2 is RRNn,Condition2 is RRAn,Condition2 is PosN,Condition2 is PosA,Condition2 is RRNe,Condition2 is RRAe,BldgType is 1Fam,BldgType is 2FmCon,BldgType is Duplx,BldgType is TwnhsE,BldgType is TwnhsI,HouseStyle is 1Story,HouseStyle is 1.5Fin,HouseStyle is 1.5Unf,HouseStyle is 2Story,HouseStyle is 2.5Fin,HouseStyle is 2.5Unf,HouseStyle is SFoyer,HouseStyle is SLvl,OverallQual is 10,OverallQual is 9,OverallQual is 8,OverallQual is 7,OverallQual is 6,OverallQual is 5,OverallQual is 4,OverallQual is 3,OverallQual is 2,OverallQual is 1,OverallCond is 10,OverallCond is 9,OverallCond is 8,OverallCond is 7,OverallCond is 6,OverallCond is 5,OverallCond is 4,OverallCond is 3,OverallCond is 2,OverallCond is 1,YearBuilt < 1954,YearBuilt < 1973,YearBuilt < 2000,YearBuilt < 2010,YearBuilt > 2010,YearRemodAdd < 1950,YearRemodAdd < 1967,YearRemodAdd < 1994,YearRemodAdd < 2004,YearRemodAdd > 2004,RoofStyle is Flat,RoofStyle is Gable,RoofStyle is Gambrel,RoofStyle is Hip,RoofStyle is Mansard,RoofStyle is Shed,RoofMatl is ClyTile,RoofMatl is CompShg,RoofMatl is Membran,RoofMatl is Metal,RoofMatl is Roll,RoofMatl is Tar&Grv,RoofMatl is WdShake,RoofMatl is WdShngl,Exterior1st is AsbShng,Exterior1st is AsphShn,Exterior1st is BrkComm,Exterior1st is BrkFace,Exterior1st is CBlock,Exterior1st is CemntBd,Exterior1st is HdBoard,Exterior1st is ImStucc,Exterior1st is MetalSd,Exterior1st is Other,Exterior1st is Plywood,Exterior1st is PreCast,Exterior1st is Stone,Exterior1st is Stucco,Exterior1st is VinylSd,Exterior1st is Wd Sdng,Exterior1st is WdShing,Exterior2nd is AsbShng,Exterior2nd is AsphShn,Exterior2nd is BrkComm,Exterior2nd is BrkFace,Exterior2nd is CBlock,Exterior2nd is CemntBd,Exterior2nd is HdBoard,Exterior2nd is ImStucc,Exterior2nd is MetalSd,Exterior2nd is Other,Exterior2nd is Plywood,Exterior2nd is PreCast,Exterior2nd is Stone,Exterior2nd is Stucco,Exterior2nd is VinylSd,Exterior2nd is Wd Sdng,Exterior2nd is WdShing,MasVnrType is BrkCmn,MasVnrType is BrkFace,MasVnrType is CBlock,MasVnrType is None,MasVnrType is Stone,MasVnrArea < 167,MasVnrArea > 167,ExterQual is Ex,ExterQual is Gd,ExterQual is TA,ExterQual is Fa,ExterQual is Po,ExterCond is Ex,ExterCond is Gd,ExterCond is TA,ExterCond is Fa,ExterCond is Po,Foundation is BrkTil,Foundation is CBlock,Foundation is PConc,Foundation is Slab,Foundation is Stone,Foundation is Wood,BsmtQual is Ex,BsmtQual is Gd,BsmtQual is TA,BsmtQual is Fa,BsmtCond is Ex,BsmtCond is Gd,BsmtCond is TA,BsmtCond is Fa,BsmtCond is Po,BsmtCond is NA,BsmtExposure is Gd,BsmtExposure is Av,BsmtExposure is Mn,BsmtExposure is No,BsmtExposure is NA,BsmtFinType1 is GLQ,BsmtFinType1 is ALQ,BsmtFinType1 is BLQ,BsmtFinType1 is Rec,BsmtFinType1 is LwQ,BsmtFinType1 is Unf,BsmtFinType1 is NA,BsmtFinSF1 < 383,BsmtFinSF1 < 712,BsmtFinSF1 < 5644,BsmtFinSF1 > 5644,BsmtFinType2 is GLQ,BsmtFinType2 is ALQ,BsmtFinType2 is BLQ,BsmtFinType2 is Rec,BsmtFinType2 is LwQ,BsmtFinType2 is Unf,BsmtFinType2 is NA,BsmtFinSF2 < 383,BsmtFinSF2 < 712,BsmtFinSF2 < 5644,BsmtFinSF2 > 5644,BsmtUnfSF < 223,BsmtUnfSF < 477,BsmtUnfSF < 808,BsmtUnfSF > 5644,TotalBsmtSF < 795,TotalBsmtSF < 991,TotalBsmtSF < 1298,TotalBsmtSF > 1298,Heating is Floor,Heating is GasA,Heating is GasW,Heating is Grav,Heating is OthW,Heating is Wall,HeatingQC is Ex,HeatingQC is Gd,HeatingQC is TA,HeatingQC is Fa,HeatingQC is Po,CentralAir is N,CentralAir is Y,Electrical is SBrkr,Electrical is FuseA,Electrical is FuseF,Electrical is FuseP,Electrical is Mix,1stFlrSF < 882,1stFlrSF < 1087,1stFlrSF < 1391,1stFlrSF > 1391,2ndFlrSF < 728,2ndFlrSF > 728,LowQualFinSF < 500,LowQualFinSF > 500,GrLivArea < 1129,GrLivArea < 1464,GrLivArea < 1776,GrLivArea > 1776,BsmtFullBath < 1,BsmtFullBath > 1,BsmtHalfBath < 1,BsmtHalfBath > 1,FullBath < 1,FullBath < 2,FullBath > 2,HalfBath < 1,HalfBath > 1,BedroomAbvGr < 2,BedroomAbvGr < 3,BedroomAbvGr > 3,KitchenAbvGr < 1,KitchenAbvGr > 1,KitchenQual is Ex,KitchenQual is Gd,KitchenQual is TA,KitchenQual is Fa,KitchenQual is Po,TotRmsAbvGrd < 5,TotRmsAbvGrd < 6,TotRmsAbvGrd < 7,TotRmsAbvGrd > 7,Functional is Typ,Functional is Min1,Functional is Min2,Functional is Mod,Functional is Maj1,Functional is Maj2,Functional is Sev,Functional is Sal,Fireplaces < 1,Fireplaces > 1,FireplaceQu is Ex,FireplaceQu is Gd,FireplaceQu is TA,FireplaceQu is Fa,FireplaceQu is Po,GarageType is 2Types,GarageType is Attchd,GarageType is Basment,GarageType is BuiltIn,GarageType is CarPort,GarageType is Detchd,GarageType is NA,GarageYrBlt < 1961,GarageYrBlt < 1980,GarageYrBlt < 2002,GarageYrBlt > 2002,GarageFinish is Fin,GarageFinish is RFn,GarageFinish is Unf,GarageFinish is NA,GarageCars < 2,GarageCars > 2,GarageArea < 334,GarageArea < 480,GarageArea < 576,GarageArea > 576,GarageQual is Ex,GarageQual is Gd,GarageQual is TA,GarageQual is Fa,GarageQual is Po,GarageQual is NA,GarageCond is Ex,GarageCond is Gd,GarageCond is TA,GarageCond is Fa,GarageCond is Po,GarageCond is NA,PavedDrive is Y,PavedDrive is P,PavedDrive is N,WoodDeckSF < 168,WoodDeckSF > 168,OpenPorchSF < 25,OpenPorchSF < 68,OpenPorchSF > 68,EnclosedPorch = 0,EnclosedPorch > 0,3SsnPorch = 0,3SsnPorch > 0,ScreenPorch = 0,ScreenPorch > 0,PoolArea = 0,PoolArea > 0,PoolQC is Ex,PoolQC is Gd,PoolQC is TA,PoolQC is Fa,PoolQC is NA,Fence is GdPrv,Fence is MnPrv,Fence is GdWo,Fence is MnWw,Fence is NA,MiscFeature is Elev,MiscFeature is Gar2,MiscFeature is Othr,MiscFeature is Shed,MiscFeature is TenC,MiscFeature is NA,MiscVal = 0,MiscVal > 0,MoSold < 5,MoSold < 6,MoSold < 8,MoSold > 8,YrSold < 2007,YrSold < 2008,YrSold < 2009,YrSold > 2009,SaleType is WD,SaleType is CWD,SaleType is VWD,SaleType is New,SaleType is COD,SaleType is Con,SaleType is ConLw,SaleType is ConLI,SaleType is ConLD,SaleType is Oth,SaleCondition is Normal,SaleCondition is Abnorml,SaleCondition is AdjLand,SaleCondition is Alloca,SaleCondition is Family,SaleCondition is Partial
1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
